indicator_code,indicator_name,definition_or_additional_info
POSTDVSP_T_TOTAL_15_CRUDE_DIS_ALL,Post-operative deep vein thrombosis - hip and knee replacement discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using linked data)"
POSTSESP_T_TOTAL_15_CRUDE_DIS_ALL,Post-operative sepsis - abdominal discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using linked data)"
RHPTIPAT_M_TOTAL_16_LOW_CI,Regular doctor spending enough time with patients during the consultation,"Male, 16 years and over, Lower confidence interval"
RHPTIPAT_M_TOTAL_16_UP_CI,Regular doctor spending enough time with patients during the consultation,"Male, 16 years and over, Upper confidence interval"
RHPEXCLA_M_TOTAL_16_LOW_CI,Regular doctor providing easy-to-understand explanations,"Male, 16 years and over, Lower confidence interval"
RHPEXCLA_M_TOTAL_16_UP_CI,Regular doctor providing easy-to-understand explanations,"Male, 16 years and over, Upper confidence interval"
RHPIPDEC_M_TOTAL_16_LOW_CI,Regular doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Lower confidence interval"
RHPIPDEC_M_TOTAL_16_UP_CI,Regular doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Upper confidence interval"
RHPTIPAT_F_TOTAL_16_LOW_CI,Regular doctor spending enough time with patients during the consultation,"Female, 16 years and over, Lower confidence interval"
RHPTIPAT_F_TOTAL_16_UP_CI,Regular doctor spending enough time with patients during the consultation,"Female, 16 years and over, Upper confidence interval"
RHPEXCLA_F_TOTAL_16_LOW_CI,Regular doctor providing easy-to-understand explanations,"Female, 16 years and over, Lower confidence interval"
RHPEXCLA_F_TOTAL_16_UP_CI,Regular doctor providing easy-to-understand explanations,"Female, 16 years and over, Upper confidence interval"
RHPIPDEC_F_TOTAL_16_LOW_CI,Regular doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Lower confidence interval"
RHPIPDEC_F_TOTAL_16_UP_CI,Regular doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Upper confidence interval"
RHPTIPAT_T_TOTAL_16_LOW_CI,Regular doctor spending enough time with patients during the consultation,"Total, 16 years and over, Lower confidence interval"
RHPTIPAT_T_TOTAL_16_UP_CI,Regular doctor spending enough time with patients during the consultation,"Total, 16 years and over, Upper confidence interval"
RHPEXCLA_T_TOTAL_16_LOW_CI,Regular doctor providing easy-to-understand explanations,"Total, 16 years and over, Lower confidence interval"
RHPEXCLA_T_TOTAL_16_UP_CI,Regular doctor providing easy-to-understand explanations,"Total, 16 years and over, Upper confidence interval"
RHPIPDEC_T_TOTAL_16_LOW_CI,Regular doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Lower confidence interval"
RHPIPDEC_T_TOTAL_16_UP_CI,Regular doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Upper confidence interval"
HPRGOASK_M_TOTAL_16_LOW_CI,Doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Lower confidence interval"
HPRGOASK_M_TOTAL_16_UP_CI,Doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Upper confidence interval"
HPRGOASK_F_TOTAL_16_LOW_CI,Doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Lower confidence interval"
HPRGOASK_F_TOTAL_16_UP_CI,Doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Upper confidence interval"
HPRGOASK_T_TOTAL_16_LOW_CI,Doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Lower confidence interval"
HPRGOASK_T_TOTAL_16_UP_CI,Doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Upper confidence interval"
RHPGOASK_M_TOTAL_16_LOW_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Lower confidence interval"
RHPGOASK_M_TOTAL_16_UP_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Upper confidence interval"
RHPGOASK_F_TOTAL_16_LOW_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Lower confidence interval"
RHPGOASK_F_TOTAL_16_UP_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Upper confidence interval"
RHPGOASK_T_TOTAL_16_LOW_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Lower confidence interval"
RHPGOASK_T_TOTAL_16_UP_CI,Regular doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Upper confidence interval"
PATRDBLE_M_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using linked data,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
PATRDBLE_M_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using linked data,"Male, 15 years old and over, Lower confidence interval"
PATRDBLE_M_TOTAL_15_UP_CI,Diabetes lower extremity amputation using linked data,"Male, 15 years old and over, Upper confidence interval"
PATRDBLE_F_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using linked data,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
PATRDBLE_F_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using linked data,"Female, 15 years old and over, Lower confidence interval"
PATRDBLE_F_TOTAL_15_UP_CI,Diabetes lower extremity amputation using linked data,"Female, 15 years old and over, Upper confidence interval"
PATRDBLE_T_TOTAL_15_AS_STD_RATE_MPOP,Diabetes lower extremity amputation using linked data,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
PATRDBLE_T_TOTAL_15_LOW_CI,Diabetes lower extremity amputation using linked data,"Total, 15 years old and over, Lower confidence interval"
PATRDBLE_T_TOTAL_15_UP_CI,Diabetes lower extremity amputation using linked data,"Total, 15 years old and over, Upper confidence interval"
PRPPANTI_M_TOTAL_65_AS_STD_RATE_MPOP,Proportion of people 65 and over prescribed antipsychotics,"Male, 65 years old and over, Age-sex standardised rate per 100 000 population"
PRPPANTI_F_TOTAL_65_AS_STD_RATE_MPOP,Proportion of people 65 and over prescribed antipsychotics,"Female, 65 years old and over, Age-sex standardised rate per 100 000 population"
PRPPANTI_T_TOTAL_65_AS_STD_RATE_MPOP,Proportion of people 65 and over prescribed antipsychotics,"Total, 65 years old and over, Age-sex standardised rate per 100 000 population"
PRPPANTI_M_TOTAL_65_LOW_CI,Proportion of people 65 and over prescribed antipsychotics,"Male, 65 years old and over, Lower confidence interval"
PRPPANTI_M_TOTAL_65_UP_CI,Proportion of people 65 and over prescribed antipsychotics,"Male, 65 years old and over, Upper confidence interval"
PRPPANTI_F_TOTAL_65_LOW_CI,Proportion of people 65 and over prescribed antipsychotics,"Female, 65 years old and over, Lower confidence interval"
PRPPANTI_F_TOTAL_65_UP_CI,Proportion of people 65 and over prescribed antipsychotics,"Female, 65 years old and over, Upper confidence interval"
PRPPANTI_T_TOTAL_65_LOW_CI,Proportion of people 65 and over prescribed antipsychotics,"Total, 65 years old and over, Lower confidence interval"
PRPPANTI_T_TOTAL_65_UP_CI,Proportion of people 65 and over prescribed antipsychotics,"Total, 65 years old and over, Upper confidence interval"
COSKCOST_M_TOTAL_16_CRUDE_RATE_CPAT,Consultation skipped due to costs,"Male, 16 years and over, Crude rate per 100 patients"
MTSKCOST_M_TOTAL_16_CRUDE_RATE_CPAT,"Medical tests, treatment or follow-up skipped due to costs","Male, 16 years and over, Crude rate per 100 patients"
PMSKCOST_M_TOTAL_16_CRUDE_RATE_CPAT,Prescribed medicines skipped due to costs,"Male, 16 years and over, Crude rate per 100 patients"
HPRTIPAT_M_TOTAL_16_CRUDE_RATE_CPAT,Doctor spending enough time with patients during the consultation,"Male, 16 years and over, Crude rate per 100 patients"
RHPTIPAT_M_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor spending enough time with patients during the consultation,"Male, 16 years and over, Crude rate per 100 patients"
RHPEXCLA_M_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor providing easy-to-understand explanations,"Male, 16 years and over, Crude rate per 100 patients"
RHPIPDEC_M_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Crude rate per 100 patients"
COSKCOST_F_TOTAL_16_CRUDE_RATE_CPAT,Consultation skipped due to costs,"Female, 16 years and over, Crude rate per 100 patients"
MTSKCOST_F_TOTAL_16_CRUDE_RATE_CPAT,"Medical tests, treatment or follow-up skipped due to costs","Female, 16 years and over, Crude rate per 100 patients"
PMSKCOST_F_TOTAL_16_CRUDE_RATE_CPAT,Prescribed medicines skipped due to costs,"Female, 16 years and over, Crude rate per 100 patients"
HPRTIPAT_F_TOTAL_16_CRUDE_RATE_CPAT,Doctor spending enough time with patients during the consultation,"Female, 16 years and over, Crude rate per 100 patients"
RHPTIPAT_F_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor spending enough time with patients during the consultation,"Female, 16 years and over, Crude rate per 100 patients"
RHPEXCLA_F_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor providing easy-to-understand explanations,"Female, 16 years and over, Crude rate per 100 patients"
RHPIPDEC_F_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Crude rate per 100 patients"
COSKCOST_T_TOTAL_16_CRUDE_RATE_CPAT,Consultation skipped due to costs,"Total, 16 years and over, Crude rate per 100 patients"
MTSKCOST_T_TOTAL_16_CRUDE_RATE_CPAT,"Medical tests, treatment or follow-up skipped due to costs","Total, 16 years and over, Crude rate per 100 patients"
PMSKCOST_T_TOTAL_16_CRUDE_RATE_CPAT,Prescribed medicines skipped due to costs,"Total, 16 years and over, Crude rate per 100 patients"
HPRTIPAT_T_TOTAL_16_CRUDE_RATE_CPAT,Doctor spending enough time with patients during the consultation,"Total, 16 years and over, Crude rate per 100 patients"
RHPTIPAT_T_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor spending enough time with patients during the consultation,"Total, 16 years and over, Crude rate per 100 patients"
RHPEXCLA_T_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor providing easy-to-understand explanations,"Total, 16 years and over, Crude rate per 100 patients"
RHPIPDEC_T_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Crude rate per 100 patients"
HPREXCLA_M_TOTAL_16_CRUDE_RATE_CPAT,Doctor providing easy-to-understand explanations,"Male, 16 years and over, Crude rate per 100 patients"
HPRGOASK_M_TOTAL_16_CRUDE_RATE_CPAT,Doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Crude rate per 100 patients"
HPRIPDEC_M_TOTAL_16_CRUDE_RATE_CPAT,Doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Crude rate per 100 patients"
HPREXCLA_F_TOTAL_16_CRUDE_RATE_CPAT,Doctor providing easy-to-understand explanations,"Female, 16 years and over, Crude rate per 100 patients"
HPRGOASK_F_TOTAL_16_CRUDE_RATE_CPAT,Doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Crude rate per 100 patients"
HPRIPDEC_F_TOTAL_16_CRUDE_RATE_CPAT,Doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Crude rate per 100 patients"
HPREXCLA_T_TOTAL_16_CRUDE_RATE_CPAT,Doctor providing easy-to-understand explanations,"Total, 16 years and over, Crude rate per 100 patients"
HPRGOASK_T_TOTAL_16_CRUDE_RATE_CPAT,Doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Crude rate per 100 patients"
HPRIPDEC_T_TOTAL_16_CRUDE_RATE_CPAT,Doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Crude rate per 100 patients"
RHPGOASK_M_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor giving opportunity to ask questions or raise concerns,"Male, 16 years and over, Crude rate per 100 patients"
RHPGOASK_F_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor giving opportunity to ask questions or raise concerns,"Female, 16 years and over, Crude rate per 100 patients"
RHPGOASK_T_TOTAL_16_CRUDE_RATE_CPAT,Regular doctor giving opportunity to ask questions or raise concerns,"Total, 16 years and over, Crude rate per 100 patients"
ICISCACR_M_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACR_M_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICISCACR_M_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICISCDSR_M_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCDSR_M_TOTAL_45_LOW_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICISCDSR_M_TOTAL_45_UP_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICISCACM_M_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACM_M_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICISCACM_M_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICISCMACR_M_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMACR_M_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICISCMACR_M_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICISCMDSR_M_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMDSR_M_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICISCMDSR_M_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFACR_M_TOTAL_45_AS_STD_RATE_MPOP,CHF – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACR_M_TOTAL_45_LOW_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICCHFACR_M_TOTAL_45_UP_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFDSR_M_TOTAL_45_AS_STD_RATE_MPOP,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFDSR_M_TOTAL_45_LOW_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICCHFDSR_M_TOTAL_45_UP_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFACM_M_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACM_M_TOTAL_45_LOW_CI,CHF - All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICCHFACM_M_TOTAL_45_UP_CI,CHF - All-cause mortality within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFMACR_M_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMACR_M_TOTAL_45_LOW_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICCHFMACR_M_TOTAL_45_UP_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFMDSR_M_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMDSR_M_TOTAL_45_LOW_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Lower confidence interval"
ICCHFMDSR_M_TOTAL_45_UP_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Male, 45 years old and over, Upper confidence interval"
ICCHFCF_M_TOTAL_45_AS_STD_RATE_MPOP,CHF - Case fatality within 30 days of the admission date,"Male, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFCF_M_TOTAL_45_LOW_CI,CHF - Case fatality within 30 days of the admission date,"Male, 45 years old and over, Lower confidence interval"
ICCHFCF_M_TOTAL_45_UP_CI,CHF - Case fatality within 30 days of the admission date,"Male, 45 years old and over, Upper confidence interval"
ICISCACR_F_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACR_F_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICISCACR_F_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICISCDSR_F_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCDSR_F_TOTAL_45_LOW_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICISCDSR_F_TOTAL_45_UP_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICISCACM_F_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACM_F_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICISCACM_F_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICISCMACR_F_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMACR_F_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICISCMACR_F_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICISCMDSR_F_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMDSR_F_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICISCMDSR_F_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFACR_F_TOTAL_45_AS_STD_RATE_MPOP,CHF – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACR_F_TOTAL_45_LOW_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICCHFACR_F_TOTAL_45_UP_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFDSR_F_TOTAL_45_AS_STD_RATE_MPOP,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFDSR_F_TOTAL_45_LOW_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICCHFDSR_F_TOTAL_45_UP_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFACM_F_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACM_F_TOTAL_45_LOW_CI,CHF - All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICCHFACM_F_TOTAL_45_UP_CI,CHF - All-cause mortality within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFMACR_F_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMACR_F_TOTAL_45_LOW_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICCHFMACR_F_TOTAL_45_UP_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFMDSR_F_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMDSR_F_TOTAL_45_LOW_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Lower confidence interval"
ICCHFMDSR_F_TOTAL_45_UP_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Female, 45 years old and over, Upper confidence interval"
ICCHFCF_F_TOTAL_45_AS_STD_RATE_MPOP,CHF - Case fatality within 30 days of the admission date,"Female, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFCF_F_TOTAL_45_LOW_CI,CHF - Case fatality within 30 days of the admission date,"Female, 45 years old and over, Lower confidence interval"
ICCHFCF_F_TOTAL_45_UP_CI,CHF - Case fatality within 30 days of the admission date,"Female, 45 years old and over, Upper confidence interval"
ICISCACR_T_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACR_T_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICISCACR_T_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICISCDSR_T_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCDSR_T_TOTAL_45_LOW_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICISCDSR_T_TOTAL_45_UP_CI,Ischaemic Stroke – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICISCACM_T_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCACM_T_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICISCACM_T_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICISCMACR_T_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMACR_T_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICISCMACR_T_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICISCMDSR_T_TOTAL_45_AS_STD_RATE_MPOP,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICISCMDSR_T_TOTAL_45_LOW_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICISCMDSR_T_TOTAL_45_UP_CI,Ischaemic Stroke – All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFACR_T_TOTAL_45_AS_STD_RATE_MPOP,CHF – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACR_T_TOTAL_45_LOW_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICCHFACR_T_TOTAL_45_UP_CI,CHF – All-cause hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFDSR_T_TOTAL_45_AS_STD_RATE_MPOP,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFDSR_T_TOTAL_45_LOW_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICCHFDSR_T_TOTAL_45_UP_CI,CHF – Disease-specific hospital readmissions within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFACM_T_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFACM_T_TOTAL_45_LOW_CI,CHF - All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICCHFACM_T_TOTAL_45_UP_CI,CHF - All-cause mortality within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFMACR_T_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMACR_T_TOTAL_45_LOW_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICCHFMACR_T_TOTAL_45_UP_CI,CHF - All-cause mortality or all-cause readmission within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFMDSR_T_TOTAL_45_AS_STD_RATE_MPOP,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
ICCHFMDSR_T_TOTAL_45_LOW_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Lower confidence interval"
ICCHFMDSR_T_TOTAL_45_UP_CI,CHF - All-cause mortality or disease-specific readmission within 365 days after discharge,"Total, 45 years old and over, Upper confidence interval"
ICCHFCF_T_TOTAL_45_AS_STD_RATE_MPOP,CHF - Case fatality within 30 days of the admission date,"Total, 45 years old and over, Age-sex standardised rate per 100 000 population"
