"indicator_code"	"indicator_name"	"long_definition"
"SE.PRM.NENR.MA"	"School enrollment, primary, male (% net)"	"Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music."
"SE.PRM.PRS5.FE.ZS"	"Persistence to grade 5, female (% of cohort)"	"Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method."
"SE.PRM.PRS5.MA.ZS"	"Persistence to grade 5, male (% of cohort)"	"Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method."
"SE.PRM.PRSL.FE.ZS"	"Persistence to last grade of primary, female (% of cohort)"	"Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method."
"SE.PRM.PRSL.MA.ZS"	"Persistence to last grade of primary, male (% of cohort)"	"Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method."
"SE.PRM.REPT.FE.ZS"	"Repeaters, primary, female (% of female enrollment)"	"Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school."
"SE.PRM.REPT.MA.ZS"	"Repeaters, primary, male (% of male enrollment)"	"Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school."
"SE.PRM.TCHR.FE.ZS"	"Primary education, teachers (% female)"	"Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers."
"SE.PRM.TENR.FE"	"Adjusted net enrollment rate, primary, female (% of primary school age children)"	"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group."
"SE.PRM.TENR.MA"	"Adjusted net enrollment rate, primary, male (% of primary school age children)"	"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group."
"SE.PRM.UNER.FE"	"Children out of school, primary, female"	"Children out of school are the number of primary-school-age children not enrolled in primary or secondary school."
"SE.PRM.UNER.MA"	"Children out of school, primary, male"	"Children out of school are the number of primary-school-age children not enrolled in primary or secondary school."
"SE.SCH.LIFE.FE"	"School life expectancy, primary to tertiary, female (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"SE.SCH.LIFE.MA"	"School life expectancy, primary to tertiary, male (years)"	"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average."
"SE.SEC.CUAT.LO.FE.ZS"	"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed lower secondary education."
"SE.SEC.CUAT.LO.MA.ZS"	"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed lower secondary education."
"SE.SEC.CUAT.LO.ZS"	"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed lower secondary education."
"SE.SEC.CUAT.UP.FE.ZS"	"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed upper secondary education."
"SE.SEC.CUAT.UP.MA.ZS"	"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed upper secondary education."
"SE.SEC.CUAT.UP.ZS"	"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed upper secondary education."
"SE.SEC.ENRL.FE.ZS"	"Secondary education, pupils (% female)"	"Female pupils as a percentage of total pupils at secondary level includes enrollments in public and private schools."
"SE.SEC.ENRL.GC.FE.ZS"	"Secondary education, general pupils (% female)"	"Secondary general pupils are the number of secondary students enrolled in general education programs, including teacher training."
"SE.SEC.ENRL.VO.FE.ZS"	"Secondary education, vocational pupils (% female)"	"Secondary vocational pupils are the number of secondary students enrolled in technical and vocational education programs, including teacher training."
"SE.SEC.ENRR.FE"	"School enrollment, secondary, female (% gross)"	"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers."
"SE.SEC.ENRR.MA"	"School enrollment, secondary, male (% gross)"	"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers."
"SE.SEC.NENR.FE"	"School enrollment, secondary, female (% net)"	"Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers."
"SE.SEC.NENR.MA"	"School enrollment, secondary, male (% net)"	"Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers."
"SE.SEC.PROG.FE.ZS"	"Progression to secondary school, female (%)"	"Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year)."
"SE.SEC.PROG.MA.ZS"	"Progression to secondary school, male (%)"	"Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year)."
"SE.SEC.TCHR.FE.ZS"	"Secondary education, teachers (% female)"	"Female teachers as a percentage of total secondary education teachers includes full-time and part-time teachers."
"SE.TER.CUAT.ST.FE.ZS"	"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed short-cycle tertiary education."
"SE.TER.CUAT.ST.MA.ZS"	"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed short-cycle tertiary education."
"SE.TER.CUAT.ST.ZS"	"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"	"The percentage of population ages 25 and over that attained or completed short-cycle tertiary education."
"SE.TER.ENRR.FE"	"School enrollment, tertiary, female (% gross)"	"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level."
"SE.TER.ENRR.MA"	"School enrollment, tertiary, male (% gross)"	"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level."
"SG.ABS.PENB"	"There are periods of absence due to childcare accounted for in pension benefits (1=yes; 0=no)"	"The indicator measures whether pension contributions are paid or credited during maternity or parental leave, or the leave period is considered a qualifying period of employment used for the purpose of calculating pension benefits; or there are mechanisms to compensate for any contribution gaps and to ensure that the leave period does not reduce the assessment base or pension amounts, or if there are no mandatory contributory pension schemes, but there is a noncontributory universal social pension conditioned on noncontributory requirements with no means test attached."
"SG.AGE.FUPN.EQ"	"The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no)"	"The indicator measures whether the statutory age at which men and women can retire and receive an irrevocable minimum old-age pension is the same. If transitional provisions gradually increase, decrease or equalize the statutory retirement age, the answer reflect the age according to the report's data collection cycle, even if the law provides for changes over time."
"SG.AGE.MRET.EQ"	"The mandatory retirement age for men and women is the same (1=yes; 0=no)"	"The indicator measures whether the relative ages at which men and women must cease employment or can be terminated by their employer are equal."
"SG.AGE.PAPN.EQ"	"The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no)"	"The indicator measures measures whether the age at which men and women can retire and receive partial pension benefits is the same, or if the age at which men and women can retire and receive partial benefits is not mandated. Partial pension benefits refer to a reduced or proportional minimum old-age pension payable to workers who did not accumulate enough work experience or contributions or have not reached the statutory age to qualify for a minimum old-age pension. If transitional provisions gradually increase, decrease or equalize the statutory retirement age, the answer reflect the age according to the report's data collection cycle, even if the law provides for changes over time."
"SG.APL.PSPT.EQ"	"A woman can apply for a passport in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are differences in passport application procedures between men and women."
"SG.BUS.REGT.EQ"	"A woman can register a business in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman registering a business (i.e. if a woman needs her husband’s or guardian’s permission, signature or consent to register a business; or the registration process at any stage requires a woman to provide additional information or documentation that is not required of a man)."
"SG.CNT.SIGN.EQ"	"A woman can sign a contract in the same way as a man (1=yes; 0=no)"	"The indicator measures whether a woman obtains full legal capacity upon reaching the age of majority and there are no restrictions on her signing legally binding contracts."
"SG.CTR.TRVL.EQ"	"A woman can travel outside the country in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman traveling alone internationally."
"SG.DML.PRGW"	"Dismissal of pregnant workers is prohibited (1=yes; 0=no)"	"The indicator measures whether the law explicitly prohibits the dismissal of pregnant women, if pregnancy cannot serve as grounds for termination of a contract or if dismissal of pregnant workers is considered a form of unlawful termination, unfair dismissal or wrongful discharge."
"SG.DNG.WORK.DN.EQ"	"A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are laws that prohibit or restrict nonpregnant and non-nursing women from working in a broad and subjective category of jobs deemed “hazardous,” “arduous” or “morally inappropriate.”"
"SG.GEN.PARL.ZS"	"Proportion of seats held by women in national parliaments (%)"	"Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women."
"SG.GET.JOBS.EQ"	"A woman can get a job in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman's legal capacity and ability to work."
"SG.HLD.HEAD.EQ"	"A woman can be head of household in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman becoming head of household or head of family."
"SG.HME.TRVL.EQ"	"A woman can travel outside her home in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman traveling alone domestically."
"SG.IHT.ASST.EQ"	"Male and female surviving spouses have equal rights to inherit assets (1=yes; 0=no)"	"The indicator measures whether both spouses have equal rank and rights to inherit assets when there is no will. For this question, it is assumed that the deceased spouse left no children or any other heirs, other than the surviving spouse."
"SG.IHT.ASST.PT.EQ"	"Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no)"	"The indicator measures whether there are gender-based differences in the rules of intestate succession for transfer of property from parents to children."
"SG.IND.WORK.EQ"	"A woman can work in an industrial job in the same way as a man (1=yes; 0=no)"	"The indicator measures whether nonpregnant and non-nursing a woman can work in the mining, construction, manufacturing, energy, water, agriculture, and transportation industries in the same way as men.  nonpregnant and non-nursing women can work in the mining, construction, manufacturing, energy, water, agriculture, and transportation industries in the same way as men."
"SG.LAW.ASST.AR"	"The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no)"	"The indicator measures whether spouses retain administrative power over those assets each brought to the marriage or acquired during marriage, and their accrued value, without the need for spousal consent; or spouses administer their separate property, but for major transactions, such as selling or pledging the property as collateral, spousal consent is required, or if both spouses have equal rights in the administration and transaction of joint property."
"SG.LAW.CRDD.GR"	"The law prohibits discrimination in access to credit based on gender (1=yes; 0=no)"	"The indicator measures whether the law prohibits discrimination by creditors based on gender or prescribes equal access for both men and women when conducting financial transactions, entrepreneurial activities or receiving financial assistance, or if the law prohibits gender discrimination when accessing goods and services (and services are defined to include financial services)."
"SG.LAW.EQRM.WK"	"Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)"	"The indicator measures whether there is a law that obligates employers to pay equal remuneration to male and female employees who do work of equal value. “Remuneration” refers to the ordinary, basic or minimum wage or salary and any additional emoluments payable directly or indirectly, whether in cash or in kind, by the employer to the worker and arising out of the worker’s employment. “Work of equal value” refers not only to the same or similar jobs but also to different jobs of the same value."
"SG.LAW.INDX"	"Women Business and the Law Index Score (scale 1-100)"	"The index measures how laws and regulations affect women’s economic opportunity. Overall scores are calculated by taking the average score of each index (Mobility, Workplace, Pay, Marriage, Parenthood, Entrepreneurship, Assets and Pension), with 100 representing the highest possible score."
"SG.LAW.NMCN"	"The law provides for the valuation of nonmonetary contributions (1=yes; 0=no)"	"The indicator measures whether there is an explicit legal recognition of such contributions and the law provides for equal or equitable division of the property or the transfer of a lump sum to the stay-at-home spouse based on nonmonetary contributions; or the default marital property regime is full community, partial community or deferred community because these regimes implicitly recognize nonmonetary contributions at the time of property division and benefit both spouses regardless of who purchased the property or holds title to it. Nonmonetary contributions include caring for minor children, taking care of the family home, or any other nonmonetized contribution from a stay-at-home spouse."
"SG.LAW.NODC.HR"	"The law prohibits discrimination in employment based on gender (1=yes; 0=no)"	"The indicator measures whether the law generally prevents or penalizes gender-based discrimination in employment. Laws that mandate equal treatment or equality between women and men in employment are also counted for this question. It is not considered whether the laws only prohibit discrimination in one aspect of employment, such as pay or dismissal."
"SG.LAW.OBHB.MR.NO"	"The law is free of legal provisions that require a married woman to obey her husband (1=yes; 0=no)"	"The indicator measures whether a married woman is legally required to obey her husband."
"SG.LEG.DVAW"	"There is legislation specifically addressing domestic violence (1=yes; 0=no)"	"The indicator measures whether there is legislation addressing domestic violence that includes criminal sanctions or provides for protection orders for domestic violence, or the legislation addresses ""harassment"" that clearly leads to physical or mental harm in the context of domestic violence."
"SG.LEG.SXHR.EM"	"There is legislation on sexual harassment in employment (1=yes; 0=no)"	"The indicator measures whether there is a legal provision or legislation that specifically protects women against sexual harassment in employment, including unwelcome verbal or physical conduct of a sexual nature."
"SG.LOC.LIVE.EQ"	"A woman can choose where to live in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman choosing where to live."
"SG.NGT.WORK.EQ"	"A woman can work at night in the same way as a man (1=yes; 0=no)"	"The indicator measures whether nonpregnant and nonnursing women are prohibited from working at night or cannot work the same night hours as men. If various sectors of the economy are regulated separately (i.e., no central labor law), it is assumed that the woman is employed as a cashier in a grocery store or supermarket. It is analyzed whether restrictions on women's ability to work at night do not apply to the food retail sector; if women's consent to work at night is required; if an employer needs to comply with safety measures (such as providing transportation)."
"SG.OBT.DVRC.EQ"	"A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no)"	"The indicator measures whether the divorce process is equal for women and men or includes additional protections for women, such as prohibiting a husband from initiating divorce proceedings while his wife is pregnant."
"SG.OPN.BANK.EQ"	"A woman can open a bank account in the same way as a man (1=yes; 0=no)"	"The indicator measures whether there are restrictions on a woman opening a bank account (i.e. a woman has limited legal capacity or is required to provide any additional permission or documentation that is not required of a man; or legal provisions limit the ability of a woman to open a bank account, such as stating that a married woman who is separately employed from her husband may open a bank account in her own name)."
"SG.OWN.PRRT.IM"	"Men and women have equal ownership rights to immovable property (1=yes; 0=no)"	"The indicator measures whether no legal restriction related to property is applied to women or men based on gender (i.e. if legal restrictions on property ownership are applied based on gender, or if there are gender differences in the legal treatment of spousal property, such as granting the husband administrative control of marital property. This includes instances in which legal systems are supported by custom and judicial precedent)."
"SG.PEN.SXHR.EM"	"Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)"	"The indicator measures whether the law establishes criminal sanctions, such as fines or imprisonment, for sexual harassment in employment; if the provision in the criminal code provides for reparation of damages for offenses covered by the code; or if the law provides for civil remedies or compensation for victims of sexual harassment in employment or the workplace, even after dismissal of the victims."
"SG.REM.RIGT.EQ"	"A woman has the same rights to remarry as a man (1=yes; 0=no)"	"The indicator measures whether women and men have an equal right to remarry."
"SH.HIV.INCD.FE.P3"	"Incidence of HIV, ages 15-49, female (per 1,000 uninfected female population ages 15-49)"	"Number of new HIV infections among uninfected female populations ages 15-49 expressed per 1,000 uninfected female population ages 15-49 in the year before the period."
"SH.HIV.INCD.MA.P3"	"Incidence of HIV, ages 15-49, male (per 1,000 uninfected male population ages 15-49)"	"Number of new HIV infections among uninfected male populations ages 15-49 expressed per 1,000 uninfected male population ages 15-49 in the year before the period."
"SH.HIV.INCD.YG.FE.P3"	"Incidence of HIV, ages 15-24, female (per 1,000 uninfected female population ages 15-24)"	"Number of new HIV infections among uninfected male populations ages 15-24 expressed per 1,000 uninfected male population ages 15-24 in the year before the period."
"SH.MMR.LEVE"	"Length of paid maternity leave (calendar days)"	"The indicator refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth."
"SH.MMR.LEVE.AL"	"Paid leave of at least 14 weeks available to mothers (1=yes; 0=no)"	"The indicator measures  whether women are legally entitled to at least 14 weeks (98 calendar days) of paid leave for the birth of a child through maternity leave, parental leave or a combination of both."
"SH.MMR.LEVE.GT"	"The government administers 100% of maternity leave benefits (1=yes; 0=no)"	"The indicator measures whether leave benefits are fully administered by a government entity, including compulsory social insurance schemes (such as social security), public funds, government-mandated private insurance or employer reimbursement of any maternity leave benefits paid directly to an employee."
"SH.PAR.LEVE"	"Length of paid shared parental leave (calendar days)"	"The indicator refers to parental leave that can be shared amongst the parents as they choose. Parental leave refers to leave available equally to parents—regardless of gender—for the purpose of childcare immediately following maternity and paternity leave OR instead of maternity and paternity leave."
"SH.PAR.LEVE.AL"	"There is paid parental leave (1=yes; 0=no)"	"The indicator measures whether both parents are legally entitled to some form of full-time paid parental leave either shared between mother and father or as an individual entitlement that each can take regardless of the other."
"SH.PAR.LEVE.FE"	"Length of paid parental leave for mother (calendar days)"	"The indicator refers to days of parental leave reserved specifically for mothers—through “use-it-or-lose-it” policies or mothers’ quotas; or days of parental leave that employees are individually entitled to."
"SH.PAR.LEVE.MA"	"Length of paid parental leave for father (calendar days)"	"The indicator refers to days of parental leave reserved specifically for fathers—that is, through “use-it-or-lose-it” policies or fathers’ quotas; or days of parental leave that employees are individually entitled to."
"SH.PTR.LEVE"	"Length of paid paternity leave (calendar days)"	"The indicator refers to leave available only to the father for the birth of a child."
"SH.PTR.LEVE.AL"	"Paid leave is available to fathers (1=yes; 0=no)"	"The indicator measures whether fathers are legally entitled to at least one day of paid leave for the birth of a child, or if the law reserves a portion of paid parental leave specifically for fathers—that is, through “use-it-or-lose-it” policies or fathers’ quotas; or if fathers are individually entitled to paid parental leave."
"SH.STA.OB18.FE.ZS"	"Prevalence of obesity, female (% of female population ages 18+)"	"Prevalence of obesity adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is 30 kg/m² or higher. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters."
"SH.STA.OB18.MA.ZS"	"Prevalence of obesity, male (% of male population ages 18+)"	"Prevalence of obesity adult is the percentage of adults ages 18 and over whose Body Mass Index (BMI) is 30 kg/m² or higher. Body Mass Index (BMI) is a simple index of weight-for-height, or the weight in kilograms divided by the square of the height in meters."
"SL.AGR.EMPL.FE.ZS"	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4)."
"SL.AGR.EMPL.MA.ZS"	"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"	"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4)."
"SL.EMP.1524.SP.FE.ZS"	"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"	"Employment to population ratio is the proportion of a country's population that is employed. Employment is defined as persons of working age who, during a short reference period, were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period (i.e. who worked in a job for at least one hour) or not at work due to temporary absence from a job, or to working-time arrangements. Ages 15-24 are generally considered the youth population."
"SL.EMP.1524.SP.MA.ZS"	"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"	"Employment to population ratio is the proportion of a country's population that is employed. Employment is defined as persons of working age who, during a short reference period, were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period (i.e. who worked in a job for at least one hour) or not at work due to temporary absence from a job, or to working-time arrangements. Ages 15-24 are generally considered the youth population."
"SL.EMP.MPYR.FE.ZS"	"Employers, female (% of female employment) (modeled ILO estimate)"	"Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s)."
"SL.EMP.MPYR.MA.ZS"	"Employers, male (% of male employment) (modeled ILO estimate)"	"Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s)."
"SL.EMP.OWAC.FE.ZS"	"Own-account workers, female (% of female employment) (modeled ILO estimate)"	"Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed""."
"SL.EMP.OWAC.MA.ZS"	"Own-account workers, male (% of male employment) (modeled ILO estimate)"	"Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed""."
"SL.EMP.SELF.FE.ZS"	"Self-employed, female (% of female employment) (modeled ILO estimate)"	"Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs."" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers."
"SL.EMP.SELF.MA.ZS"	"Self-employed, male (% of male employment) (modeled ILO estimate)"	"Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs."" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers."
"SL.EMP.TOTL.SP.FE.ZS"	"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"	"Employment to population ratio is the proportion of a country's population that is employed. Employment is defined as persons of working age who, during a short reference period, were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period (i.e. who worked in a job for at least one hour) or not at work due to temporary absence from a job, or to working-time arrangements. Ages 15 and older are generally considered the working-age population."
"SL.EMP.TOTL.SP.MA.ZS"	"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"	"Employment to population ratio is the proportion of a country's population that is employed. Employment is defined as persons of working age who, during a short reference period, were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period (i.e. who worked in a job for at least one hour) or not at work due to temporary absence from a job, or to working-time arrangements. Ages 15 and older are generally considered the working-age population."
"SL.EMP.UNDR.FE.ZS"	"Time-related underemployment, female (% of employment)"	"Time-related underemployment refers to all persons in employment who (i) wanted to work additional hours, (ii) had worked less than a specified hours threshold (working time in all jobs), and (iii) were available to work additional hours given an opportunity for more work."
"SL.EMP.UNDR.MA.ZS"	"Time-related underemployment, male (% of employment)"	"Time-related underemployment refers to all persons in employment who (i) wanted to work additional hours, (ii) had worked less than a specified hours threshold (working time in all jobs), and (iii) were available to work additional hours given an opportunity for more work."
"SL.EMP.VULN.FE.ZS"	"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"	"Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment."
"SL.EMP.VULN.MA.ZS"	"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"	"Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment."
"SL.EMP.WORK.FE.ZS"	"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"	"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work."
"SL.EMP.WORK.MA.ZS"	"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"	"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work."
"SL.FAM.WORK.FE.ZS"	"Contributing family workers, female (% of female employment) (modeled ILO estimate)"	"Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household."
"SL.FAM.WORK.MA.ZS"	"Contributing family workers, male (% of male employment) (modeled ILO estimate)"	"Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household."
"SL.IND.EMPL.FE.ZS"	"Employment in industry, female (% of female employment) (modeled ILO estimate)"	"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4)."
"SL.IND.EMPL.MA.ZS"	"Employment in industry, male (% of male employment) (modeled ILO estimate)"	"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4)."
"SL.SRV.EMPL.FE.ZS"	"Employment in services, female (% of female employment) (modeled ILO estimate)"	"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services, in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4)."
